country,iso3,region,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Malaysia,MYS,Johor,2019,300.3,288.6,288.6,325,365.5,344.4,321.2,295.8,237.9,217.2,196,173,141.6,104.7,73.7,42.7,27.3,20.6,,,
Malaysia,MYS,Kedah,2019,181.3,181.2,171.7,200,229.9,200.6,158.6,135.9,122.5,117.5,113.5,105.6,89.4,68.6,47,27.2,18.1,11.9,,,
Malaysia,MYS,Kelantan,2019,196,190.8,175.2,187.3,198.4,191.1,119.4,104.1,86.8,85.4,84.5,79.7,64.9,48.3,35,19.5,10.7,8.5,,,
Malaysia,MYS,Melaka,2019,72.3,68.9,70.2,76.6,93.6,103.1,77.6,63.6,48.8,47.3,49.3,45.5,37,28.8,22.1,12.5,7.6,6,,,
Malaysia,MYS,Negeri Sembilan,2019,89.5,82.3,84.9,104.4,115.2,112,96.2,73.5,62.7,58.6,56.7,54.9,48.7,37.3,24.2,14.3,9,6,,,
Malaysia,MYS,Pahang,2019,138.8,136.8,143.4,149.7,166,170.5,138.5,129.2,88.5,80.9,76.9,73.1,61.6,47,35.1,18.1,11.8,8.8,,,
Malaysia,MYS,Penang,2019,108.8,111.7,115.1,130.5,171.8,181,158.7,144.9,118.3,112.1,102.5,88.8,77.3,59.7,44.3,25.1,15.7,8.5,,,
Malaysia,MYS,Perak,2019,171.6,172,186,229.6,253.1,240.9,194.2,146.4,132.5,130.2,137,133.5,119.1,97.7,74.6,43.7,30.8,19.2,,,
Malaysia,MYS,Perlis,2019,22,20.6,19.5,20.3,23.1,29.3,20.9,15.5,12.2,11.3,13.1,12.5,10.9,8.8,6.3,3.8,2.5,1.8,,,
Malaysia,MYS,Sabah,2019,290.8,293.2,307.1,443.1,471.9,498.6,371.4,319.7,225.3,181.5,151,123.4,92.3,57.7,34.2,21.9,11.5,8.8,,,
Malaysia,MYS,Sarawak,2019,188.8,207.3,236.5,261.6,284.6,286.7,229.7,196.2,162.1,160.8,148.6,131.3,106,80.6,56.1,36.8,20.1,19.1,,,
Malaysia,MYS,Selangor,2019,519.2,508.1,472.7,477.7,563.8,648.7,719.2,628.3,463,390.4,324.1,268.9,203.7,146.4,101.7,47,27,18.6,,,
Malaysia,MYS,Terengganu,2019,138.2,124.6,113.7,121.5,123.5,121.2,96.8,72.2,60.3,57,55.1,50.9,40.4,28.5,19.5,12.1,5.5,4.7,,,
Malaysia,MYS,W.P. Kuala Lumpur,2019,119.2,113,117.4,123.6,142.8,174.1,174.4,174.5,139.3,111.4,104.4,90.1,69,51.2,36.7,21,11.7,7,,,
Malaysia,MYS,W.P. Labuan,2019,8.9,8.4,8.7,8.3,8.2,9.2,9.6,10.7,6.1,5.4,4.5,3.9,2.9,1.8,1.1,0.6,0.3,0.5,,,
Malaysia,MYS,W.P. Putrajaya,2019,12.9,14.5,9,6.8,8.9,6.1,8.4,14.6,7.3,4,3.7,3.5,2.6,1,0.3,0.1,0.1,0.1,,,
Philippines,PHL,Bicol,2020,722.48,709.09,682.87,626.53,543.07,488.76,427.13,355.94,304.34,284.63,248.05,217.2,174.7,134.05,94.23,63.37,36.45,15.13,4.78,0.94,0.11
Philippines,PHL,Calabarzon,2020,1524.25,1534.05,1517.77,1511.88,1455.15,1370.22,1267.2,1162.87,1022.84,925.09,768.04,645.26,501.01,359.96,227.03,143.11,77.18,32.05,10.11,1.99,0.24
Philippines,PHL,Central Visayas,2020,815.65,814.47,790.53,746.73,715.11,655.32,603.72,526.98,460.85,411.87,361.53,308.21,254.83,188.77,133.93,88.13,51.05,21.2,6.69,1.32,0.16
Philippines,PHL,Metro Manila,2020,1197.73,1218.955,1233.908,1202.331,1268.376,1224.544,1136.362,1053.583,948.934,835.25,696.166,579.215,449.756,325.322,200.695,128.172,66.88800772,27.77114645,8.764032389,1.726767283,0.207046161
