2015,Total,,,1,7,2,,1,12,2,2,,,,,,27
,Treatment success (cured and/or treatment completed),,,,7,1,,1,12,2,2,,,,,,25
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,1,,1,,,,,,,,,,,2
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2016,Total,,,3,6,21,2,2,11,1,3,,,,,,49
,Treatment success (cured and/or treatment completed),,,2,2,5,,1,7,,,,,,,,17
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,,1,,,,2,,,,,,3
,"Other (unknown, transferred out)",,,1,4,16,1,1,4,1,1,,,,,,29
,PTB without bacteriological confirmation (clinical dx),,,,,,,,,,,,,,,,
2012,Total,,,4,3,2,13,2,,,,,,,,,24
,Treatment success (cured and/or treatment completed),,,4,3,,13,2,,,,,,,,,22
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,1,,,,,,,,,,,1
,"Other (unknown, transferred out)",,,,,1,,,,,,,,,,,1
2013,Total,3,2,9,4,10,5,2,1,,,,,,,,36
,Treatment success (cured and/or treatment completed),2,2,8,3,6,5,2,,,,,,,,,28
,"Treatment failure (default, lost, failure)",,,1,1,1,,,,,,,,,,,3
,Died,1,,,,3,,,1,,,,,,,,5
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2014,Total,,,1,1,2,4,6,8,2,4,,,2,,,30
,Treatment success (cured and/or treatment completed),,,1,1,2,4,5,7,1,3,,,2,,,26
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,,,1,1,1,1,,,,,,4
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2015,Total,,2,,2,11,3,4,5,9,4,,,,,,40
,Treatment success (cured and/or treatment completed),,1,,2,6,3,4,5,7,3,,,,,,31
,"Treatment failure (default, lost, failure)",,,,,1,,,,1,1,,,,,,3
,Died,,1,,,4,,,,1,,,,,,,6
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2016,Total,,,1,,8,4,2,6,1,3,,,,,,25
,Treatment success (cured and/or treatment completed),,,,,,2,2,4,1,1,,,,,,10
,"Treatment failure (default, lost, failure)",,,1,,,,,,,,,,,,,1
,Died,,,,,5,1,,,,,,,,,,6
,"Other (unknown, transferred out)",,,,,3,1,,2,,2,,,,,,8
,Extrapulmonary TB only,,,,,,,,,,,,,,,,
2012,Total,,,4,,,4,8,,1,1,,,,,1,19
,Treatment success (cured and/or treatment completed),,,4,,,4,7,,,,,,,,1,16
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,,,,,1,1,,,,,,2
,"Other (unknown, transferred out)",,,,,,,1,,,,,,,,,1
2013,Total,,2,8,5,4,,2,,,,,,,,,21
,Treatment success (cured and/or treatment completed),,2,7,5,4,,2,,,,,,,,,20
,"Treatment failure (default, lost, failure)",,,1,,,,,,,,,,,,,1
,Died,,,,,,,,,,,,,,,,0
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2014,Total,,,,1,2,3,6,13,5,3,,,,,,33
,Treatment success (cured and/or treatment completed),,,,1,2,3,5,10,5,1,,,,,,27
,"Treatment failure (default, lost, failure)",,,,,,,,1,,1,,,,,,2
,Died,,,,,,,,1,,1,,,,,,2
,"Other (unknown, transferred out)",,,,,,,1,1,,,,,,,,2
2015,Total,,1,,1,2,2,5,6,,2,,,,,,19
,Treatment success (cured and/or treatment completed),,,,1,1,2,4,6,,2,,,,,,16
,"Treatment failure (default, lost, failure)",,1,,,,,,,,,,,,,,1
,Died,,,,,1,,1,,,,,,,,,2
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2016,Total,,,,3,4,,6,8,5,6,,,,,1,33
,Treatment success (cured and/or treatment completed),,,,1,,,5,3,3,1,,,,,,13
,"Treatment failure (default, lost, failure)",,,,,,,1,,,,,,,,,1
,Died,,,,,1,,,,1,3,,,,,,5
,"Other (unknown, transferred out)",,,,2,3,,,5,1,2,,,,,1,14
